648,1064,9467
674,1099,9610
702,1121,9622
730,1139,9152
760,1159,7940
792,1189,6273
825,1231,4954
855,1283,4109
878,1340,3700
889,1398,3674
889,1457,3941
879,1514,4266
861,1569,4575
838,1621,4848
812,1670,5065
784,1715,5210
756,1755,5269
728,1791,5236
698,1823,5114
669,1851,4912
638,1875,4666
608,1896,4618
576,1913,4915
544,1926,5536
512,1937,6409
480,1944,7398
447,1948,8156
413,1950,8451
380,1949,8275
345,1945,7877
311,1938,7594
277,1929,7784
243,1915,8591
211,1896,9219
180,1871,9178
150,1839,8228
124,1799,6336
100,1750,4059
81,1694,2066
68,1633,852
64,1572,468
69,1513,616
86,1459,635
111,1411,693
141,1367,620
172,1326,466
200,1286,365
228,1249,338
254,1213,306
280,1177,317
307,1142,379
335,1107,457
363,1072,593
392,1037,836
420,1002,885
449,966,1512
478,931,2653
506,895,4150
534,859,5785
562,824,7530
590,788,8824
619,753,10182
649,718,10990
680,684,11183
711,649,11408
741,612,11450
767,570,10771
787,521,10091
801,463,9724
806,398,9367
799,336,8884
781,283,8239
754,241,7424
724,208,6440
691,183,5319
657,166,4446
622,155,4015
588,151,4072
556,152,4597
524,157,5453
494,167,6255
463,181,6900
433,198,7728
401,219,9086
368,243,10178
335,271,10856
303,302,11178
272,339,10401
245,380,7890
221,428,6434
203,481,6461
191,541,8616
190,602,10982
202,659,13400
225,709,13856
253,749,12018
284,780,9755
316,806,8056
346,830,7057
374,857,7204
396,889,8921
