605,1051
624,1066
622,1072
657,1091
643,1095
717,1150
774,1179
787,1201
839,1274
877,1361
868,1428
882,1487
871,1546
842,1611
805,1659
778,1699
734,1755
701,1785
644,1857
596,1902
550,1926
483,1944
424,1952
371,1958
320,1951
263,1935
210,1910
170,1877
131,1837
94,1788
66,1731
49,1685
44,1643
39,1604
40,1562
50,1511
68,1482
83,1453
107,1419
130,1382
134,1334
175,1316
174,1275
227,1248
245,1205
247,1189
262,1185
270,1174
272,1168
279,1162
288,1148
295,1138
301,1133
307,1123
314,1100
328,1095
330,1087
336,1082
347,1069
364,1062
365,1059
371,1032
395,1021
404,999
413,989
423,976
449,946
472,916
485,896
508,866
547,826
581,788
604,759
604,769
621,727
670,682
715,627
758,549
775,486
785,407
769,313
727,264
677,219
608,188
527,177
465,191
404,223
361,262
261,360
233,405
206,457
190,516
182,577
181,624
200,675
236,728
265,762
286,783
334,845
633,1075
662,1101
738,1160
797,1206
856,1290
880,1377
886,1461
864,1569
829,1636
799,1660
751,1738
714,1786
649,1849
599,1899
540,1929
464,1956
396,1955
325,1945
264,1931
204,1907
150,1865
109,1811
80,1765
59,1717
44,1659
39,1592
45,1529
59,1481
88,1442
122,1395
141,1347
182,1306
204,1277
223,1229
249,1200
259,1176
267,1181
269,1170
284,1155
292,1143
279,1165
306,1126
314,1112
326,1091
332,1093
333,1091
344,1075
358,1057
375,1041
384,1036
388,1021
404,1004
435,974
453,942
476,914
508,870
551,830
572,805
620,739
622,746
657,692
705,642
754,559
773,493
783,412
771,334
721,258
667,213
592,183
513,177
443,202
391,235
345,279
246,383
216,440
193,493
183,562
183,623
204,682
238,732
265,762
293,788
343,853
650,1089
677,1108
750,1163
