592,1141,86
610,1156,84
628,1171,81
646,1185,72
664,1200,68
682,1215,64
699,1231,59
715,1248,54
729,1266,49
742,1285,44
754,1305,40
765,1325,36
774,1347,34
783,1368,38
789,1391,37
793,1413,36
796,1437,37
796,1460,37
793,1483,39
788,1505,40
782,1528,42
775,1550,44
767,1572,46
757,1593,47
747,1614,49
736,1634,51
724,1654,52
711,1673,53
696,1691,53
682,1709,53
666,1726,53
649,1742,52
632,1758,51
614,1773,49
595,1786,46
576,1799,44
556,1811,41
535,1822,37
514,1831,35
492,1839,32
470,1844,29
447,1847,26
423,1848,24
400,1846,22
378,1841,21
355,1834,20
334,1825,20
314,1814,20
295,1800,20
277,1785,20
261,1769,21
246,1751,21
233,1732,21
221,1712,22
212,1691,28
204,1669,29
198,1646,29
195,1623,31
194,1600,33
195,1577,35
199,1554,38
206,1532,42
214,1510,46
224,1489,50
234,1468,49
245,1448,53
257,1428,58
270,1409,41
283,1390,41
297,1371,41
311,1353,41
326,1335,41
341,1317,41
356,1299,41
371,1282,41
387,1264,41
402,1247,41
417,1229,41
432,1211,41
447,1194,41
461,1176,41
476,1158,41
491,1139,41
505,1121,41
519,1103,41
534,1085,41
548,1066,41
562,1048,41
576,1029,41
590,1011,41
604,993,41
618,974,41
633,956,41
647,937,41
661,919,41
675,900,41
689,882,41
703,864,41
718,846,41
732,827,41
747,809,41
761,791,41
775,773,41
790,754,41
804,736,41
818,717,41
831,699,41
845,680,41
858,661,41
871,641,41
883,621,41
895,602,41
906,581,59
916,560,56
925,539,53
932,517,52
938,494,50
942,471,48
945,448,47
946,425,46
947,402,45
945,379,45
941,356,45
936,333,46
930,311,47
922,289,46
912,268,46
902,248,47
890,227,47
878,208,47
865,189,47
850,170,46
835,153,46
819,136,45
802,120,43
784,106,42
765,93,41
745,81,40
724,71,40
702,62,39
680,56,43
657,51,43
634,47,44
611,46,44
588,45,44
565,47,45
542,49,45
519,53,46
496,58,46
474,65,47
452,73,44
431,82,45
410,93,47
391,106,49
372,120,52
355,135,55
339,151,59
323,169,62
308,186,66
293,204,69
278,222,72
263,240,74
249,258,74
234,276,74
219,294,73
204,311,71
189,329,68
174,347,64
160,365,61
147,384,57
135,404,54
126,426,51
118,447,49
111,470,49
107,492,48
104,515,48
102,539,47
102,562,47
102,585,47
104,608,47
106,631,46
110,654,46
115,677,45
121,699,44
129,721,44
139,742,45
150,762,47
164,781,50
179,798,53
196,815,55
213,830,59
231,845,64
249,859,68
266,875,72
284,890,75
300,906,79
317,922,81
335,938,83
352,953,84
370,967,87
390,980,87
