634,1054,69
639,1056,65
657,1071,60
675,1085,56
693,1100,52
711,1113,51
730,1126,48
750,1140,46
768,1153,45
786,1168,44
802,1185,48
818,1202,49
832,1220,49
845,1239,50
857,1259,50
868,1279,51
878,1300,52
886,1322,53
892,1344,55
898,1367,56
901,1390,53
903,1413,55
903,1436,57
902,1459,59
899,1482,62
896,1505,64
891,1527,66
885,1550,68
878,1572,70
869,1593,71
860,1615,71
849,1635,71
838,1655,69
825,1674,67
812,1693,65
798,1712,62
783,1730,59
769,1748,56
754,1766,53
739,1784,50
725,1802,48
710,1819,47
695,1837,46
679,1854,45
663,1870,47
646,1886,47
628,1901,47
609,1914,47
589,1926,47
568,1936,46
546,1944,46
524,1950,45
502,1955,44
479,1958,44
456,1961,41
433,1963,41
409,1964,41
386,1964,41
363,1962,42
340,1959,42
318,1954,43
296,1947,43
274,1939,44
253,1928,44
233,1917,44
214,1903,44
196,1889,44
179,1873,43
164,1856,44
149,1838,44
135,1820,44
122,1801,44
110,1781,44
99,1761,45
89,1740,46
81,1718,48
75,1696,50
70,1673,52
68,1650,54
67,1627,57
67,1604,60
68,1581,64
71,1558,41
75,1535,41
81,1512,41
88,1490,41
97,1469,41
107,1448,41
118,1428,41
131,1409,41
144,1389,41
157,1370,41
170,1352,41
184,1333,41
197,1314,41
211,1295,41
225,1277,41
238,1258,41
252,1239,41
266,1221,41
280,1202,41
294,1184,41
308,1165,41
322,1147,41
336,1128,41
350,1110,41
364,1091,41
378,1073,41
392,1055,41
406,1036,41
420,1018,41
434,1000,41
448,981,41
463,963,41
477,945,41
491,927,41
506,909,41
520,891,41
535,873,41
550,855,41
564,837,41
579,819,41
594,801,41
609,784,41
624,766,41
638,748,41
653,730,57
668,713,53
683,695,49
698,677,50
712,659,47
726,641,44
740,622,41
754,603,39
766,584,37
777,563,35
787,542,33
795,521,32
802,499,30
806,476,24
810,453,23
812,430,22
811,407,21
809,384,20
804,361,20
798,339,20
789,318,23
779,297,23
767,277,24
753,258,25
737,241,27
720,226,29
701,213,32
681,201,34
660,192,37
638,184,41
616,179,41
593,177,44
570,177,47
547,179,49
524,183,52
502,190,54
480,198,55
459,208,56
439,219,57
419,232,56
400,245,55
382,260,54
365,275,51
349,291,49
333,308,46
318,326,46
304,344,43
290,363,40
277,382,38
265,402,37
253,422,36
242,442,36
231,463,37
223,484,39
216,506,41
210,529,37
207,551,41
207,575,45
209,598,50
213,620,55
219,643,60
227,664,65
237,686,69
247,706,73
259,726,76
272,745,83
286,764,85
302,780,86
319,796,87
337,810,87
356,824,84
374,838,82
392,853,80
408,870,77
423,888,73
